,LocationId,TotalCapacity,LocationName,CountOfParticipants,PercetageCapacity,LastUpdatedDateAndTime,LastCount,MinColor,MidColor,MaxColor,MinCapacityRange,MaxCapacityRange,CountCapacityColorEnabled,FacilityId,FacilityName,IsClosed,time_retrived
5,7289,50,MAC (badminton),0,0,2021-11-20T08:04:40.827,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
6,6158,100,West Mezzanine (3rd Floor),0,0,2021-11-20T08:04:41.203,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
7,5984,100,Atrium Track (3rd Floor),0,0,2021-11-20T08:04:41.53,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
8,6157,100,East Mezzanine (3rd Floor),0,0,2021-11-20T08:04:41.89,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
9,5988,50,Mindfulness Room ,0,0,2021-11-20T08:04:42.25,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
10,5991,200,Racquetball/Squash Courts ,0,0,2021-11-20T08:04:42.607,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
11,7292,100,Fitness Pavilion (strength),0,0,2021-11-20T08:04:43.297,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
12,7293,100,Fitness Pavilion (cardio),0,0,2021-11-20T08:04:43.64,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
13,5981,100,Fitness Loft,0,0,2021-11-20T08:04:43.983,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
14,5979,100,Feature Gym,0,0,2021-11-20T08:04:44.31,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
15,5960,300,B&G Gym 1-3,0,0,2021-10-21T20:30:24.72,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637413502.529569
16,5961,300,B&G Gym 4-6,0,0,2021-11-19T16:11:50.517,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637413502.529569
17,5993,200,Scifres ,0,0,2021-11-20T08:04:44.653,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
18,5972,20,Climbing Wall ,0,0,2021-11-18T22:20:16.343,11,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637413502.529569
19,5969,20,Bouldering Wall,0,0,2021-11-20T08:04:45.717,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
20,5976,300,East Fitness (Strength Equipment),0,0,2021-11-20T08:04:46.06,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
21,5990,50,Olympic Lifting Room ,0,0,2021-11-20T08:04:46.437,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
22,6132,300,MP4 (Table Tennis),0,0,2021-11-20T08:04:47.14,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
23,6131,100,MP3 (Strength Equipment),0,0,2021-11-20T08:04:47.5,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
24,7291,300,Colby (Cardio),0,0,2021-11-20T08:04:47.857,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
25,7290,300,Colby (Strength),0,0,2021-11-20T08:04:48.233,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
26,5985,300,Lower Gym (Badminton & Pickleball),0,0,2021-11-20T08:04:48.607,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637413502.529569
27,5994,300,TREC,0,0,2021-11-19T22:16:37.437,43,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637413502.529569
0,6129,100,Upper Track (4th Floor),0,0,2021-11-20T09:04:08.653,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
1,5978,50,Faculty/Staff Workout Area ,0,0,2021-11-20T09:04:09.187,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
2,5995,100,Upper Fitness ,0,0,2021-11-20T09:04:09.53,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
3,5996,100,Upper Gym,0,0,2021-11-20T09:04:09.89,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
4,6130,100,MAC Court (Cardio),0,0,2021-11-20T09:04:10.967,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
5,7289,50,MAC (badminton),0,0,2021-11-20T09:04:11.403,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
6,6158,100,West Mezzanine (3rd Floor),0,0,2021-11-20T09:04:11.763,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
7,5984,100,Atrium Track (3rd Floor),0,0,2021-11-20T09:04:12.107,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
8,6157,100,East Mezzanine (3rd Floor),0,0,2021-11-20T09:04:12.483,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
9,5988,50,Mindfulness Room ,0,0,2021-11-20T09:04:12.843,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
10,5991,200,Racquetball/Squash Courts ,0,0,2021-11-20T09:04:13.217,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
11,7292,100,Fitness Pavilion (strength),0,0,2021-11-20T09:04:13.967,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
12,7293,100,Fitness Pavilion (cardio),0,0,2021-11-20T09:04:14.343,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
13,5981,100,Fitness Loft,0,0,2021-11-20T09:04:14.733,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
14,5979,100,Feature Gym,0,0,2021-11-20T09:04:15.093,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637417103.1628401
15,5960,300,B&G Gym 1-3,0,0,2021-10-21T20:30:24.72,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637417103.1628401
16,5961,300,B&G Gym 4-6,0,0,2021-11-19T16:11:50.517,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637417103.1628401
17,5993,200,Scifres ,0,0,2021-11-20T09:04:15.467,8,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
18,5972,20,Climbing Wall ,0,0,2021-11-18T22:20:16.343,11,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637417103.1628401
19,5969,20,Bouldering Wall,0,0,2021-11-20T09:04:16.607,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
20,5976,300,East Fitness (Strength Equipment),0,0,2021-11-20T09:04:17,24,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
21,5990,50,Olympic Lifting Room ,0,0,2021-11-20T09:04:17.39,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
22,6132,300,MP4 (Table Tennis),0,0,2021-11-20T09:04:18.123,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
23,6131,100,MP3 (Strength Equipment),0,0,2021-11-20T09:04:18.483,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
24,7291,300,Colby (Cardio),0,0,2021-11-20T09:04:18.843,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
25,7290,300,Colby (Strength),0,0,2021-11-20T09:04:19.203,26,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
26,5985,300,Lower Gym (Badminton & Pickleball),0,0,2021-11-20T09:04:19.563,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637417103.1628401
